Code,Type,Definition
O750,ICD-10-CM,Maternal distress during labor and delivery
O751,ICD-10-CM,Shock during or following labor and delivery
O752,ICD-10-CM,"Pyrexia during labor, not elsewhere classified"
O753,ICD-10-CM,Other infection during labor
O754,ICD-10-CM,Other complications of obstetric surgery and procedures
O755,ICD-10-CM,Delayed delivery after artificial rupture of membranes
O7581,ICD-10-CM,Maternal exhaustion complicating labor and delivery
O7582,ICD-10-CM,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section"
O7589,ICD-10-CM,Other specified complications of labor and delivery
O759,ICD-10-CM,"Complication of labor and delivery, unspecified"
O76,ICD-10-CM,Abnormality in fetal heart rate and rhythm complicating labor and delivery
O770,ICD-10-CM,Labor and delivery complicated by meconium in amniotic fluid
O771,ICD-10-CM,Fetal stress in labor or delivery due to drug administration
O778,ICD-10-CM,Labor and delivery complicated by other evidence of fetal stress
O779,ICD-10-CM,"Labor and delivery complicated by fetal stress, unspecified"
O80,ICD-10-CM,Encounter for full-term uncomplicated delivery
O82,ICD-10-CM,Encounter for cesarean delivery without indication
O85,ICD-10-CM,Puerperal sepsis
O860,ICD-10-CM,Infection of obstetric surgical wound
O8611,ICD-10-CM,Cervicitis following delivery
O8612,ICD-10-CM,Endometritis following delivery
O8613,ICD-10-CM,Vaginitis following delivery
O8619,ICD-10-CM,Other infection of genital tract following delivery
O8620,ICD-10-CM,"Urinary tract infection following delivery, unspecified"
O8621,ICD-10-CM,Infection of kidney following delivery
O8622,ICD-10-CM,Infection of bladder following delivery
O8629,ICD-10-CM,Other urinary tract infection following delivery
O864,ICD-10-CM,Pyrexia of unknown origin following delivery
O8681,ICD-10-CM,Puerperal septic thrombophlebitis
O8689,ICD-10-CM,Other specified puerperal infections
O870,ICD-10-CM,Superficial thrombophlebitis in the puerperium
O871,ICD-10-CM,Deep phlebothrombosis in the puerperium
O872,ICD-10-CM,Hemorrhoids in the puerperium
O873,ICD-10-CM,Cerebral venous thrombosis in the puerperium
O874,ICD-10-CM,Varicose veins of lower extremity in the puerperium
O878,ICD-10-CM,Other venous complications in the puerperium
O879,ICD-10-CM,"Venous complication in the puerperium, unspecified"
O88011,ICD-10-CM,"Air embolism in pregnancy, first trimester"
O88012,ICD-10-CM,"Air embolism in pregnancy, second trimester"
O88013,ICD-10-CM,"Air embolism in pregnancy, third trimester"
O88019,ICD-10-CM,"Air embolism in pregnancy, unspecified trimester"
O8802,ICD-10-CM,Air embolism in childbirth
O8803,ICD-10-CM,Air embolism in the puerperium
O88111,ICD-10-CM,"Amniotic fluid embolism in pregnancy, first trimester"
O88112,ICD-10-CM,"Amniotic fluid embolism in pregnancy, second trimester"
O88113,ICD-10-CM,"Amniotic fluid embolism in pregnancy, third trimester"
O88119,ICD-10-CM,"Amniotic fluid embolism in pregnancy, unspecified trimester"
O8812,ICD-10-CM,Amniotic fluid embolism in childbirth
O8813,ICD-10-CM,Amniotic fluid embolism in the puerperium
O88211,ICD-10-CM,"Thromboembolism in pregnancy, first trimester"
O88212,ICD-10-CM,"Thromboembolism in pregnancy, second trimester"
O88213,ICD-10-CM,"Thromboembolism in pregnancy, third trimester"
O88219,ICD-10-CM,"Thromboembolism in pregnancy, unspecified trimester"
O8822,ICD-10-CM,Thromboembolism in childbirth
O8823,ICD-10-CM,Thromboembolism in the puerperium
O88311,ICD-10-CM,"Pyemic and septic embolism in pregnancy, first trimester"
O88312,ICD-10-CM,"Pyemic and septic embolism in pregnancy, second trimester"
O88313,ICD-10-CM,"Pyemic and septic embolism in pregnancy, third trimester"
O88319,ICD-10-CM,"Pyemic and septic embolism in pregnancy, unspecified trimester"
O8832,ICD-10-CM,Pyemic and septic embolism in childbirth
O8833,ICD-10-CM,Pyemic and septic embolism in the puerperium
O88811,ICD-10-CM,"Other embolism in pregnancy, first trimester"
O88812,ICD-10-CM,"Other embolism in pregnancy, second trimester"
O88813,ICD-10-CM,"Other embolism in pregnancy, third trimester"
O88819,ICD-10-CM,"Other embolism in pregnancy, unspecified trimester"
O8882,ICD-10-CM,Other embolism in childbirth
O8883,ICD-10-CM,Other embolism in the puerperium
O8901,ICD-10-CM,Aspiration pneumonitis due to anesthesia during the puerperium
O8909,ICD-10-CM,Other pulmonary complications of anesthesia during the puerperium
O891,ICD-10-CM,Cardiac complications of anesthesia during the puerperium
O892,ICD-10-CM,Central nervous system complications of anesthesia during the puerperium
O893,ICD-10-CM,Toxic reaction to local anesthesia during the puerperium
O894,ICD-10-CM,Spinal and epidural anesthesia-induced headache during the puerperium
O895,ICD-10-CM,Other complications of spinal and epidural anesthesia during the puerperium
O896,ICD-10-CM,Failed or difficult intubation for anesthesia during the puerperium
O898,ICD-10-CM,Other complications of anesthesia during the puerperium
O899,ICD-10-CM,"Complication of anesthesia during the puerperium, unspecified"
O900,ICD-10-CM,Disruption of cesarean delivery wound
O901,ICD-10-CM,Disruption of perineal obstetric wound
O902,ICD-10-CM,Hematoma of obstetric wound
O903,ICD-10-CM,Peripartum cardiomyopathy
O904,ICD-10-CM,Postpartum acute kidney failure
O905,ICD-10-CM,Postpartum thyroiditis
O906,ICD-10-CM,Postpartum mood disturbance
O9081,ICD-10-CM,Anemia of the puerperium
O9089,ICD-10-CM,"Other complications of the puerperium, not elsewhere classified"
O909,ICD-10-CM,"Complication of the puerperium, unspecified"
O91011,ICD-10-CM,"Infection of nipple associated with pregnancy, first trimester"
O91012,ICD-10-CM,"Infection of nipple associated with pregnancy, second trimester"
O91013,ICD-10-CM,"Infection of nipple associated with pregnancy, third trimester"
O91019,ICD-10-CM,"Infection of nipple associated with pregnancy, unspecified trimester"
O9102,ICD-10-CM,Infection of nipple associated with the puerperium
O91111,ICD-10-CM,"Abscess of breast associated with pregnancy, first trimester"
O91112,ICD-10-CM,"Abscess of breast associated with pregnancy, second trimester"
O91113,ICD-10-CM,"Abscess of breast associated with pregnancy, third trimester"
O91119,ICD-10-CM,"Abscess of breast associated with pregnancy, unspecified trimester"
O9112,ICD-10-CM,Abscess of breast associated with the puerperium
O91211,ICD-10-CM,"Nonpurulent mastitis associated with pregnancy, first trimester"
O91212,ICD-10-CM,"Nonpurulent mastitis associated with pregnancy, second trimester"
O91213,ICD-10-CM,"Nonpurulent mastitis associated with pregnancy, third trimester"
O91219,ICD-10-CM,"Nonpurulent mastitis associated with pregnancy, unspecified trimester"
O9122,ICD-10-CM,Nonpurulent mastitis associated with the puerperium
O94,ICD-10-CM,"Sequelae of complication of pregnancy, childbirth, and the puerperium"
O98011,ICD-10-CM,"Tuberculosis complicating pregnancy, first trimester"
O98012,ICD-10-CM,"Tuberculosis complicating pregnancy, second trimester"
O98013,ICD-10-CM,"Tuberculosis complicating pregnancy, third trimester"
O98019,ICD-10-CM,"Tuberculosis complicating pregnancy, unspecified trimester"
O9802,ICD-10-CM,Tuberculosis complicating childbirth
O9803,ICD-10-CM,Tuberculosis complicating the puerperium
O98111,ICD-10-CM,"Syphilis complicating pregnancy, first trimester"
O98112,ICD-10-CM,"Syphilis complicating pregnancy, second trimester"
O98113,ICD-10-CM,"Syphilis complicating pregnancy, third trimester"
O98119,ICD-10-CM,"Syphilis complicating pregnancy, unspecified trimester"
O9812,ICD-10-CM,Syphilis complicating childbirth
O9813,ICD-10-CM,Syphilis complicating the puerperium
O98211,ICD-10-CM,"Gonorrhea complicating pregnancy, first trimester"
O98212,ICD-10-CM,"Gonorrhea complicating pregnancy, second trimester"
O98213,ICD-10-CM,"Gonorrhea complicating pregnancy, third trimester"
O98219,ICD-10-CM,"Gonorrhea complicating pregnancy, unspecified trimester"
O9822,ICD-10-CM,Gonorrhea complicating childbirth
O9823,ICD-10-CM,Gonorrhea complicating the puerperium
O98311,ICD-10-CM,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester"
O98312,ICD-10-CM,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, second trimester"
O98313,ICD-10-CM,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester"
O98319,ICD-10-CM,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, unspecified trimester"
O9832,ICD-10-CM,Other infections with a predominantly sexual mode of transmission complicating childbirth
O9833,ICD-10-CM,Other infections with a predominantly sexual mode of transmission complicating the puerperium
O98411,ICD-10-CM,"Viral hepatitis complicating pregnancy, first trimester"
O98412,ICD-10-CM,"Viral hepatitis complicating pregnancy, second trimester"
O98413,ICD-10-CM,"Viral hepatitis complicating pregnancy, third trimester"
O98419,ICD-10-CM,"Viral hepatitis complicating pregnancy, unspecified trimester"
O9842,ICD-10-CM,Viral hepatitis complicating childbirth
O9843,ICD-10-CM,Viral hepatitis complicating the puerperium
O98511,ICD-10-CM,"Other viral diseases complicating pregnancy, first trimester"
O98512,ICD-10-CM,"Other viral diseases complicating pregnancy, second trimester"
O98513,ICD-10-CM,"Other viral diseases complicating pregnancy, third trimester"
O98519,ICD-10-CM,"Other viral diseases complicating pregnancy, unspecified trimester"
O9852,ICD-10-CM,Other viral diseases complicating childbirth
O9853,ICD-10-CM,Other viral diseases complicating the puerperium
O98611,ICD-10-CM,"Protozoal diseases complicating pregnancy, first trimester"
O98612,ICD-10-CM,"Protozoal diseases complicating pregnancy, second trimester"
O98613,ICD-10-CM,"Protozoal diseases complicating pregnancy, third trimester"
O98619,ICD-10-CM,"Protozoal diseases complicating pregnancy, unspecified trimester"
O9862,ICD-10-CM,Protozoal diseases complicating childbirth
O9863,ICD-10-CM,Protozoal diseases complicating the puerperium
O98711,ICD-10-CM,"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester"
O98712,ICD-10-CM,"Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester"
O98713,ICD-10-CM,"Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester"
O98719,ICD-10-CM,"Human immunodeficiency virus [HIV] disease complicating pregnancy, unspecified trimester"
O9872,ICD-10-CM,Human immunodeficiency virus [HIV] disease complicating childbirth
O9873,ICD-10-CM,Human immunodeficiency virus [HIV] disease complicating the puerperium
O98811,ICD-10-CM,"Other maternal infectious and parasitic diseases complicating pregnancy, first trimester"
O98812,ICD-10-CM,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester"
O98813,ICD-10-CM,"Other maternal infectious and parasitic diseases complicating pregnancy, third trimester"
O98819,ICD-10-CM,"Other maternal infectious and parasitic diseases complicating pregnancy, unspecified trimester"
O9882,ICD-10-CM,Other maternal infectious and parasitic diseases complicating childbirth
O9883,ICD-10-CM,Other maternal infectious and parasitic diseases complicating the puerperium
O98911,ICD-10-CM,"Unspecified maternal infectious and parasitic disease complicating pregnancy, first trimester"
O98912,ICD-10-CM,"Unspecified maternal infectious and parasitic disease complicating pregnancy, second trimester"
O98913,ICD-10-CM,"Unspecified maternal infectious and parasitic disease complicating pregnancy, third trimester"
O98919,ICD-10-CM,"Unspecified maternal infectious and parasitic disease complicating pregnancy, unspecified trimester"
O9892,ICD-10-CM,Unspecified maternal infectious and parasitic disease complicating childbirth
O9893,ICD-10-CM,Unspecified maternal infectious and parasitic disease complicating the puerperium
O99011,ICD-10-CM,"Anemia complicating pregnancy, first trimester"
O99012,ICD-10-CM,"Anemia complicating pregnancy, second trimester"
O99013,ICD-10-CM,"Anemia complicating pregnancy, third trimester"
O99019,ICD-10-CM,"Anemia complicating pregnancy, unspecified trimester"
O9902,ICD-10-CM,Anemia complicating childbirth
O9903,ICD-10-CM,Anemia complicating the puerperium
O99111,ICD-10-CM,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester"
O99112,ICD-10-CM,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester"
O99113,ICD-10-CM,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester"
O99119,ICD-10-CM,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimest"
O9912,ICD-10-CM,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirth
O9913,ICD-10-CM,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium
O99210,ICD-10-CM,"Obesity complicating pregnancy, unspecified trimester"
O99211,ICD-10-CM,"Obesity complicating pregnancy, first trimester"
O99212,ICD-10-CM,"Obesity complicating pregnancy, second trimester"
O99213,ICD-10-CM,"Obesity complicating pregnancy, third trimester"
O99214,ICD-10-CM,Obesity complicating childbirth
O99215,ICD-10-CM,Obesity complicating the puerperium
O99280,ICD-10-CM,"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester"
O99281,ICD-10-CM,"Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester"
O99282,ICD-10-CM,"Endocrine, nutritional and metabolic diseases complicating pregnancy, second trimester"
O99283,ICD-10-CM,"Endocrine, nutritional and metabolic diseases complicating pregnancy, third trimester"
O99284,ICD-10-CM,"Endocrine, nutritional and metabolic diseases complicating childbirth"
O99285,ICD-10-CM,"Endocrine, nutritional and metabolic diseases complicating the puerperium"
O99310,ICD-10-CM,"Alcohol use complicating pregnancy, unspecified trimester"
O99311,ICD-10-CM,"Alcohol use complicating pregnancy, first trimester"
O99312,ICD-10-CM,"Alcohol use complicating pregnancy, second trimester"
O99313,ICD-10-CM,"Alcohol use complicating pregnancy, third trimester"
O99314,ICD-10-CM,Alcohol use complicating childbirth
O99315,ICD-10-CM,Alcohol use complicating the puerperium
O99320,ICD-10-CM,"Drug use complicating pregnancy, unspecified trimester"
O99321,ICD-10-CM,"Drug use complicating pregnancy, first trimester"
O99322,ICD-10-CM,"Drug use complicating pregnancy, second trimester"
O99323,ICD-10-CM,"Drug use complicating pregnancy, third trimester"
O99324,ICD-10-CM,Drug use complicating childbirth
O99325,ICD-10-CM,Drug use complicating the puerperium
O99330,ICD-10-CM,"Smoking (tobacco) complicating pregnancy, unspecified trimester"
O99331,ICD-10-CM,"Smoking (tobacco) complicating pregnancy, first trimester"
O99332,ICD-10-CM,"Smoking (tobacco) complicating pregnancy, second trimester"
O99333,ICD-10-CM,"Smoking (tobacco) complicating pregnancy, third trimester"
O99334,ICD-10-CM,Smoking (tobacco) complicating childbirth
O99335,ICD-10-CM,Smoking (tobacco) complicating the puerperium
O99340,ICD-10-CM,"Other mental disorders complicating pregnancy, unspecified trimester"
O99341,ICD-10-CM,"Other mental disorders complicating pregnancy, first trimester"
O99342,ICD-10-CM,"Other mental disorders complicating pregnancy, second trimester"
O99343,ICD-10-CM,"Other mental disorders complicating pregnancy, third trimester"
O99344,ICD-10-CM,Other mental disorders complicating childbirth
O99345,ICD-10-CM,Other mental disorders complicating the puerperium
O99350,ICD-10-CM,"Diseases of the nervous system complicating pregnancy, unspecified trimester"
O99351,ICD-10-CM,"Diseases of the nervous system complicating pregnancy, first trimester"
O99352,ICD-10-CM,"Diseases of the nervous system complicating pregnancy, second trimester"
O99353,ICD-10-CM,"Diseases of the nervous system complicating pregnancy, third trimester"
O99354,ICD-10-CM,Diseases of the nervous system complicating childbirth
O99355,ICD-10-CM,Diseases of the nervous system complicating the puerperium
O99411,ICD-10-CM,"Diseases of the circulatory system complicating pregnancy, first trimester"
O99412,ICD-10-CM,"Diseases of the circulatory system complicating pregnancy, second trimester"
O99413,ICD-10-CM,"Diseases of the circulatory system complicating pregnancy, third trimester"
O99419,ICD-10-CM,"Diseases of the circulatory system complicating pregnancy, unspecified trimester"
O9942,ICD-10-CM,Diseases of the circulatory system complicating childbirth
O9943,ICD-10-CM,Diseases of the circulatory system complicating the puerperium
O99511,ICD-10-CM,"Diseases of the respiratory system complicating pregnancy, first trimester"
O99512,ICD-10-CM,"Diseases of the respiratory system complicating pregnancy, second trimester"
O99513,ICD-10-CM,"Diseases of the respiratory system complicating pregnancy, third trimester"
O99519,ICD-10-CM,"Diseases of the respiratory system complicating pregnancy, unspecified trimester"
O9952,ICD-10-CM,Diseases of the respiratory system complicating childbirth
O9953,ICD-10-CM,Diseases of the respiratory system complicating the puerperium
O99611,ICD-10-CM,"Diseases of the digestive system complicating pregnancy, first trimester"
O99612,ICD-10-CM,"Diseases of the digestive system complicating pregnancy, second trimester"
O99613,ICD-10-CM,"Diseases of the digestive system complicating pregnancy, third trimester"
O99619,ICD-10-CM,"Diseases of the digestive system complicating pregnancy, unspecified trimester"
O9962,ICD-10-CM,Diseases of the digestive system complicating childbirth
O9963,ICD-10-CM,Diseases of the digestive system complicating the puerperium
O99711,ICD-10-CM,"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
O99712,ICD-10-CM,"Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester"
O99713,ICD-10-CM,"Diseases of the skin and subcutaneous tissue complicating pregnancy, third trimester"
O99719,ICD-10-CM,"Diseases of the skin and subcutaneous tissue complicating pregnancy, unspecified trimester"
O9972,ICD-10-CM,Diseases of the skin and subcutaneous tissue complicating childbirth
O9973,ICD-10-CM,Diseases of the skin and subcutaneous tissue complicating the puerperium
O99810,ICD-10-CM,Abnormal glucose complicating pregnancy
O99814,ICD-10-CM,Abnormal glucose complicating childbirth
O99815,ICD-10-CM,Abnormal glucose complicating the puerperium
O99820,ICD-10-CM,Streptococcus B carrier state complicating pregnancy
O99824,ICD-10-CM,Streptococcus B carrier state complicating childbirth
O99825,ICD-10-CM,Streptococcus B carrier state complicating the puerperium
O99830,ICD-10-CM,Other infection carrier state complicating pregnancy
O99834,ICD-10-CM,Other infection carrier state complicating childbirth
O99835,ICD-10-CM,Other infection carrier state complicating the puerperium
O99840,ICD-10-CM,"Bariatric surgery status complicating pregnancy, unspecified trimester"
O99841,ICD-10-CM,"Bariatric surgery status complicating pregnancy, first trimester"
O99842,ICD-10-CM,"Bariatric surgery status complicating pregnancy, second trimester"
O99843,ICD-10-CM,"Bariatric surgery status complicating pregnancy, third trimester"
O99844,ICD-10-CM,Bariatric surgery status complicating childbirth
O99845,ICD-10-CM,Bariatric surgery status complicating the puerperium
O9989,ICD-10-CM,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"
O9A111,ICD-10-CM,"Malignant neoplasm complicating pregnancy, first trimester"
O9A112,ICD-10-CM,"Malignant neoplasm complicating pregnancy, second trimester"
O9A113,ICD-10-CM,"Malignant neoplasm complicating pregnancy, third trimester"
O9A119,ICD-10-CM,"Malignant neoplasm complicating pregnancy, unspecified trimester"
O9A12,ICD-10-CM,Malignant neoplasm complicating childbirth
O9A13,ICD-10-CM,Malignant neoplasm complicating the puerperium
O9A211,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester"
O9A212,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, second trimester"
O9A213,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, third trimester"
O9A219,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester"
O9A22,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes complicating childbirth"
O9A23,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes complicating the puerperium"
O9A311,ICD-10-CM,"Physical abuse complicating pregnancy, first trimester"
O9A312,ICD-10-CM,"Physical abuse complicating pregnancy, second trimester"
O9A313,ICD-10-CM,"Physical abuse complicating pregnancy, third trimester"
O9A319,ICD-10-CM,"Physical abuse complicating pregnancy, unspecified trimester"
O9A32,ICD-10-CM,Physical abuse complicating childbirth
O9A33,ICD-10-CM,Physical abuse complicating the puerperium
O9A411,ICD-10-CM,"Sexual abuse complicating pregnancy, first trimester"
O9A412,ICD-10-CM,"Sexual abuse complicating pregnancy, second trimester"
O9A413,ICD-10-CM,"Sexual abuse complicating pregnancy, third trimester"
O9A419,ICD-10-CM,"Sexual abuse complicating pregnancy, unspecified trimester"
O9A42,ICD-10-CM,Sexual abuse complicating childbirth
O9A43,ICD-10-CM,Sexual abuse complicating the puerperium
O9A511,ICD-10-CM,"Psychological abuse complicating pregnancy, first trimester"
O9A512,ICD-10-CM,"Psychological abuse complicating pregnancy, second trimester"
O9A513,ICD-10-CM,"Psychological abuse complicating pregnancy, third trimester"
O9A519,ICD-10-CM,"Psychological abuse complicating pregnancy, unspecified trimester"
O9A52,ICD-10-CM,Psychological abuse complicating childbirth
O9A53,ICD-10-CM,Psychological abuse complicating the puerperium
Z3201,ICD-10-CM,"Encounter for pregnancy test, result positive"
Z331,ICD-10-CM,"Pregnant state, incidental"
Z332,ICD-10-CM,Encounter for elective termination of pregnancy
Z333,ICD-10-CM,"Pregnant state, gestational carrier"
Z3400,ICD-10-CM,"Encounter for supervision of normal first pregnancy, unspecified trimester"
Z3401,ICD-10-CM,"Encounter for supervision of normal first pregnancy, first trimester"
Z3402,ICD-10-CM,"Encounter for supervision of normal first pregnancy, second trimester"
Z3403,ICD-10-CM,"Encounter for supervision of normal first pregnancy, third trimester"
Z3480,ICD-10-CM,"Encounter for supervision of other normal pregnancy, unspecified trimester"
Z3481,ICD-10-CM,"Encounter for supervision of other normal pregnancy, first trimester"
Z3482,ICD-10-CM,"Encounter for supervision of other normal pregnancy, second trimester"
Z3483,ICD-10-CM,"Encounter for supervision of other normal pregnancy, third trimester"
Z3490,ICD-10-CM,"Encounter for supervision of normal pregnancy, unspecified, unspecified trimester"
Z3491,ICD-10-CM,"Encounter for supervision of normal pregnancy, unspecified, first trimester"
Z3492,ICD-10-CM,"Encounter for supervision of normal pregnancy, unspecified, second trimester"
Z3493,ICD-10-CM,"Encounter for supervision of normal pregnancy, unspecified, third trimester"
Z36,ICD-10-CM,Encounter for antenatal screening of mother
Z370,ICD-10-CM,Single live birth
Z371,ICD-10-CM,Single stillbirth
Z372,ICD-10-CM,"Twins, both liveborn"
Z373,ICD-10-CM,"Twins, one liveborn and one stillborn"
Z374,ICD-10-CM,"Twins, both stillborn"
Z3750,ICD-10-CM,"Multiple births, unspecified, all liveborn"
Z3751,ICD-10-CM,"Triplets, all liveborn"
Z3752,ICD-10-CM,"Quadruplets, all liveborn"
Z3753,ICD-10-CM,"Quintuplets, all liveborn"
Z3754,ICD-10-CM,"Sextuplets, all liveborn"
Z3759,ICD-10-CM,"Other multiple births, all liveborn"
Z3760,ICD-10-CM,"Multiple births, unspecified, some liveborn"
Z3761,ICD-10-CM,"Triplets, some liveborn"
Z3762,ICD-10-CM,"Quadruplets, some liveborn"
Z3763,ICD-10-CM,"Quintuplets, some liveborn"
Z3764,ICD-10-CM,"Sextuplets, some liveborn"
Z3769,ICD-10-CM,"Other multiple births, some liveborn"
Z377,ICD-10-CM,"Other multiple births, all stillborn"
Z379,ICD-10-CM,"Outcome of delivery, unspecified"
Z3800,ICD-10-CM,"Single liveborn infant, delivered vaginally"
Z3801,ICD-10-CM,"Single liveborn infant, delivered by cesarean"
Z381,ICD-10-CM,"Single liveborn infant, born outside hospital"
Z382,ICD-10-CM,"Single liveborn infant, unspecified as to place of birth"
Z3830,ICD-10-CM,"Twin liveborn infant, delivered vaginally"
Z3831,ICD-10-CM,"Twin liveborn infant, delivered by cesarean"
Z384,ICD-10-CM,"Twin liveborn infant, born outside hospital"
Z385,ICD-10-CM,"Twin liveborn infant, unspecified as to place of birth"
Z3861,ICD-10-CM,"Triplet liveborn infant, delivered vaginally"
Z3862,ICD-10-CM,"Triplet liveborn infant, delivered by cesarean"
Z3863,ICD-10-CM,"Quadruplet liveborn infant, delivered vaginally"
Z3864,ICD-10-CM,"Quadruplet liveborn infant, delivered by cesarean"
Z3865,ICD-10-CM,"Quintuplet liveborn infant, delivered vaginally"
Z3866,ICD-10-CM,"Quintuplet liveborn infant, delivered by cesarean"
Z3868,ICD-10-CM,"Other multiple liveborn infant, delivered vaginally"
Z3869,ICD-10-CM,"Other multiple liveborn infant, delivered by cesarean"
Z387,ICD-10-CM,"Other multiple liveborn infant, born outside hospital"
Z388,ICD-10-CM,"Other multiple liveborn infant, unspecified as to place of birth"
Z390,ICD-10-CM,Encounter for care and examination of mother immediately after delivery
Z392,ICD-10-CM,Encounter for routine postpartum follow-up
Z3A00,ICD-10-CM,Weeks of gestation of pregnancy not specified
Z3A01,ICD-10-CM,Less than 8 weeks gestation of pregnancy
Z3A08,ICD-10-CM,8 weeks gestation of pregnancy
Z3A09,ICD-10-CM,9 weeks gestation of pregnancy
Z3A10,ICD-10-CM,10 weeks gestation of pregnancy
Z3A11,ICD-10-CM,11 weeks gestation of pregnancy
Z3A12,ICD-10-CM,12 weeks gestation of pregnancy
Z3A13,ICD-10-CM,13 weeks gestation of pregnancy
Z3A14,ICD-10-CM,14 weeks gestation of pregnancy
Z3A15,ICD-10-CM,15 weeks gestation of pregnancy
Z3A16,ICD-10-CM,16 weeks gestation of pregnancy
Z3A17,ICD-10-CM,17 weeks gestation of pregnancy
Z3A18,ICD-10-CM,18 weeks gestation of pregnancy
Z3A19,ICD-10-CM,19 weeks gestation of pregnancy
Z3A20,ICD-10-CM,20 weeks gestation of pregnancy
Z3A21,ICD-10-CM,21 weeks gestation of pregnancy
Z3A22,ICD-10-CM,22 weeks gestation of pregnancy
Z3A23,ICD-10-CM,23 weeks gestation of pregnancy
Z3A24,ICD-10-CM,24 weeks gestation of pregnancy
Z3A25,ICD-10-CM,25 weeks gestation of pregnancy
Z3A26,ICD-10-CM,26 weeks gestation of pregnancy
Z3A27,ICD-10-CM,27 weeks gestation of pregnancy
Z3A28,ICD-10-CM,28 weeks gestation of pregnancy
Z3A29,ICD-10-CM,29 weeks gestation of pregnancy
Z3A30,ICD-10-CM,30 weeks gestation of pregnancy
Z3A31,ICD-10-CM,31 weeks gestation of pregnancy
Z3A32,ICD-10-CM,32 weeks gestation of pregnancy
Z3A33,ICD-10-CM,33 weeks gestation of pregnancy
Z3A34,ICD-10-CM,34 weeks gestation of pregnancy
Z3A35,ICD-10-CM,35 weeks gestation of pregnancy
Z3A36,ICD-10-CM,36 weeks gestation of pregnancy
Z3A37,ICD-10-CM,37 weeks gestation of pregnancy
Z3A38,ICD-10-CM,38 weeks gestation of pregnancy
Z3A39,ICD-10-CM,39 weeks gestation of pregnancy
Z3A40,ICD-10-CM,40 weeks gestation of pregnancy
Z3A41,ICD-10-CM,41 weeks gestation of pregnancy
Z3A42,ICD-10-CM,42 weeks gestation of pregnancy
Z3A49,ICD-10-CM,Greater than 42 weeks gestation of pregnancy
102073Z,ICD-10-PCS,"Change Monitoring Electrode in Products of Conception, Via Natural or Artificial Opening"
10207YZ,ICD-10-PCS,"Change Other Device in Products of Conception, Via Natural or Artificial Opening"
10900Z9,ICD-10-PCS,"Drainage of Fetal Blood from Products of Conception, Open Approach"
10900ZA,ICD-10-PCS,"Drainage of Fetal Cerebrospinal Fluid from Products of Conception, Open Approach"
10900ZB,ICD-10-PCS,"Drainage of Other Fetal Fluid from Products of Conception, Open Approach"
10900ZC,ICD-10-PCS,"Drainage of Amniotic Fluid, Therapeutic from Products of Conception, Open Approach"
10900ZD,ICD-10-PCS,"Drainage of Other Fluid from Products of Conception, Open Approach"
10900ZU,ICD-10-PCS,"Drainage of Amniotic Fluid, Diagnostic from Products of Conception, Open Approach"
10903Z9,ICD-10-PCS,"Drainage of Fetal Blood from Products of Conception, Percutaneous Approach"
10903ZA,ICD-10-PCS,"Drainage of Fetal Cerebrospinal Fluid from Products of Conception, Percutaneous Approach"
10903ZB,ICD-10-PCS,"Drainage of Other Fetal Fluid from Products of Conception, Percutaneous Approach"
10903ZC,ICD-10-PCS,"Drainage of Amniotic Fluid, Therapeutic from Products of Conception, Percutaneous Approach"
10903ZD,ICD-10-PCS,"Drainage of Other Fluid from Products of Conception, Percutaneous Approach"
10903ZU,ICD-10-PCS,"Drainage of Amniotic Fluid, Diagnostic from Products of Conception, Percutaneous Approach"
